Place of origin city,Place of origin country,Place of origin combined,Subject geographic,Subject region,Subject region 2,
Montevideo,Uruguay,"Montevideo, Uruguay",Uruguay,,Latin America,
Montevideo,Uruguay,"Montevideo, Uruguay",Uruguay,,Latin America,
Montevideo,Uruguay,"Montevideo, Uruguay",Uruguay,,Latin America,
Montevideo,Uruguay,"Montevideo, Uruguay",Uruguay,,Latin America,
Montevideo,Uruguay,"Montevideo, Uruguay",Uruguay,,Latin America,
Montevideo,Uruguay,"Montevideo, Uruguay",Uruguay,,Latin America,
Montevideo,Uruguay,"Montevideo, Uruguay",Uruguay,,Latin America,
Montevideo,Uruguay,"Montevideo, Uruguay",Uruguay,,Latin America,
Montevideo,Uruguay,"Montevideo, Uruguay",Uruguay,,Latin America,
Montevideo,Uruguay,"Montevideo, Uruguay",Uruguay,,Latin America,
Montevideo,Uruguay,"Montevideo, Uruguay",Uruguay,,Latin America,
Montevideo,Uruguay,"Montevideo, Uruguay",Uruguay,,Latin America,
Montevideo,Uruguay,"Montevideo, Uruguay",Uruguay,,Latin America,
Montevideo,Uruguay,"Montevideo, Uruguay",Uruguay,,Latin America,
Montevideo,Uruguay,"Montevideo, Uruguay",Uruguay,,Latin America,
Montevideo,Uruguay,"Montevideo, Uruguay",Uruguay,,Latin America,
Montevideo,Uruguay,"Montevideo, Uruguay",Uruguay,,Latin America,
Montevideo,Uruguay,"Montevideo, Uruguay",Uruguay,,Latin America,
Montevideo,Uruguay,"Montevideo, Uruguay",Uruguay,,Latin America,
Montevideo,Uruguay,"Montevideo, Uruguay",Uruguay,,Latin America,
Montevideo,Uruguay,"Montevideo, Uruguay",Uruguay,,Latin America,
Montevideo,Uruguay,"Montevideo, Uruguay",Uruguay,,Latin America,
Montevideo,Uruguay,"Montevideo, Uruguay",Uruguay,,Latin America,
Montevideo,Uruguay,"Montevideo, Uruguay",Uruguay,,Latin America,
Montevideo,Uruguay,"Montevideo, Uruguay",Uruguay,,Latin America,
Montevideo,Uruguay,"Montevideo, Uruguay",Peru,,Latin America,
Montevideo,Uruguay,"Montevideo, Uruguay",Uruguay,,Latin America,South Africa
Montevideo,Uruguay,"Montevideo, Uruguay",Uruguay,,Latin America,
Montevideo,Uruguay,"Montevideo, Uruguay",Uruguay,,Latin America,
Montevideo,Uruguay,"Montevideo, Uruguay",Argentina,,Latin America,
Montevideo,Uruguay,"Montevideo, Uruguay",Uruguay,Central America,Latin America,
Montevideo,Uruguay,"Montevideo, Uruguay",Uruguay,,Latin America,
Montevideo,Uruguay,"Montevideo, Uruguay",Uruguay,,Latin America,
Montevideo,Uruguay,"Montevideo, Uruguay",Uruguay,,Latin America,
Montevideo,Uruguay,"Montevideo, Uruguay",Uruguay,,Latin America,
Montevideo,Uruguay,"Montevideo, Uruguay",Uruguay,,Latin America,
Montevideo,Uruguay,"Montevideo, Uruguay",Uruguay,,Latin America,
,,,Honduras,Central America,Latin America,
,,,Chile,,,
,,,Guatemala,,,
,,,Argentina,,,
,,,Bolivia,,,
,,,Uruguay,,,
,,,Guatemala,,,
,,,Uruguay,,,
,,,Panama,,,
